graph_index,group,generation_method,n_routes,generated_n_routes,min_route_len,max_route_len,target_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes,covered_nodes,route_length_min,route_length_mean,route_length_max
603,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0603,2.2797300815582275,35.81912612915039,1167.0841064453125,23.322158813476562,50,45,12,12.0,12
604,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0604,3.5969133377075195,36.10645294189453,1373.5833740234375,18.540678024291992,50,46,12,12.0,12
605,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0605,1.8199794292449951,32.51316452026367,1023.6253662109375,25.803241729736328,50,44,12,12.0,12
606,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0606,2.3329293727874756,33.23198318481445,1044.4013671875,22.22629737854004,50,45,12,12.0,12
607,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0607,3.2550160884857178,30.073719024658203,1042.6080322265625,23.51972770690918,50,44,12,12.0,12
608,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0608,0.8917975425720215,36.79454803466797,1115.4017333984375,11.046398162841797,50,49,12,12.0,12
609,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0609,2.9898738861083984,28.981712341308594,1211.0167236328125,30.831157684326172,50,42,12,12.0,12
610,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0610,3.6872410774230957,37.06640625,1208.627197265625,36.098175048828125,50,40,12,12.0,12
611,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0611,1.222536563873291,34.33595657348633,823.2913208007812,14.872780799865723,50,48,12,12.0,12
612,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0612,1.708254098892212,32.04208755493164,1090.2911376953125,11.068687438964844,50,48,12,12.0,12
613,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0613,2.039322853088379,44.9206657409668,1092.6707763671875,16.070234298706055,50,48,12,12.0,12
